"year","North Ntrips","North Nfish","North InputN","North AgeMat","South Ntrips","South Nfish","South InputN","South AgeMat"
1960,1,168,7,"W-S",0,0,0,NA
1961,1,100,7,"W-S",0,0,0,NA
1964,1,200,7,"W-S",0,0,0,NA
1965,1,99,7,"W-S",0,0,0,NA
1966,3,525,21,"W-S",46,1090,196,"C-S1"
1967,3,482,21,"W-S",13,323,58,"C-S1"
1968,11,2175,78,"W-S",60,1404,254,"C-S1"
1969,5,496,35,"W-S",43,1059,189,"C-S1"
1970,13,2126,92,"W-S",34,835,149,"C-S1"
1971,12,1997,85,"W-S",49,1224,218,"C-S1"
1972,17,2685,120,"W-S",59,1475,263,"C-S1"
1973,8,1439,56,"W-S",54,1384,245,"C-S1"
1974,26,2660,184,"W-S",61,1480,265,"C-S1"
1975,20,1976,141,"W-S",25,649,115,"C-S1"
1976,6,597,42,"W-S",33,825,147,"C-S1"
1977,2,198,14,"W-S",43,1063,190,"C-S1"
1977,19,1852,134,"C-S1",0,0,0,NA
1978,5,695,35,"W-S",38,950,169,"C-S1"
1978,15,1364,106,"C-S1",0,0,0,NA
1979,3,295,21,"W-S",15,370,66,"C-S1"
1979,22,2270,155,"C-S1",0,0,0,NA
1980,27,2612,191,"C-C",62,1545,275,"C-S1"
1980,18,1745,127,"W-S",0,0,0,NA
1981,42,4170,297,"C-C",37,927,165,"C-S1"
1981,2,195,14,"W-S",0,0,0,NA
1982,20,1079,141,"C-C",25,527,98,"C-S1"
1983,4,405,28,"C-C",17,468,82,"C-S1"
1984,0,0,0,NA,5,123,22,"C-S1"
1985,6,489,42,"C-C",6,150,27,"C-C"
1986,13,1234,92,"C-C",0,0,0,NA
1987,22,747,125,"C-C",0,0,0,NA
1988,18,635,106,"C-C",0,0,0,NA
1989,15,651,105,"C-C",0,0,0,NA
1990,16,432,76,"C-C",11,331,57,"C-C"
1991,17,353,66,"C-C",8,245,42,"C-C"
1992,19,737,121,"C-C",0,0,0,NA
1993,16,530,89,"C-C",0,0,0,NA
1994,15,628,102,"C-C",0,0,0,NA
1995,8,295,49,"C-C",0,0,0,NA
1996,6,232,38,"C-C",0,0,0,NA
1997,20,733,121,"C-C",0,0,0,NA
1998,26,1047,170,"C-C",0,0,0,NA
1998,13,637,92,"W-S",0,0,0,NA
1999,13,500,82,"C-BB",0,0,0,NA
1999,1,35,6,"C-S2",0,0,0,NA
1999,12,597,85,"W-S",0,0,0,NA
2000,18,822,127,"W-S",0,0,0,NA
2001,1,12,3,"C-S2",0,0,0,NA
2001,15,729,106,"W-S",0,0,0,NA
2002,15,518,86,"C-S2",0,0,0,NA
2002,14,693,99,"W-S",0,0,0,NA
2003,22,705,119,"C-S2",7,96,20,"C-BB"
2003,26,1100,178,"W-S",0,0,0,NA
2004,10,338,57,"C-S2",6,153,27,"C-BB"
2004,23,1103,162,"W-S",0,0,0,NA
2005,24,1168,169,"W-S",13,269,50,"C-BB"
2006,44,308,87,"C-BB",9,206,37,"C-BB"
2006,18,894,127,"W-S",0,0,0,NA
2007,18,515,89,"C-BB",9,175,33,"C-BB"
2007,22,1099,155,"W-S",0,0,0,NA
2008,18,483,85,"C-BB",25,395,80,"C-BB"
2008,19,932,134,"W-S",0,0,0,NA
2009,56,537,130,"C-BB",3,77,14,"C-BB"
2009,11,547,78,"W-C",0,0,0,NA
2010,45,506,115,"C-BB",0,0,0,NA
2010,8,389,56,"W-C",0,0,0,NA
2011,54,529,127,"C-BB",16,211,45,"C-BB"
2011,12,643,85,"W-BB",0,0,0,NA
2012,59,621,145,"C-BB",5,152,26,"C-BB"
2012,12,599,85,"W-BB",0,0,0,NA
2013,77,714,176,"C-BB",4,139,23,"C-BB"
2013,17,840,120,"W-BB",0,0,0,NA
2014,42,745,145,"C-BB",0,0,0,NA
2014,11,549,78,"W-BB",0,0,0,NA
2015,90,718,189,"C-BB",0,0,0,NA
2015,15,725,106,"W-BB",0,0,0,NA
2016,62,523,134,"C-BB",0,0,0,NA
2016,9,416,64,"W-BB",0,0,0,NA
2017,98,761,203,"C-BB",0,0,0,NA
2017,12,585,85,"W-BB",0,0,0,NA
2018,88,752,192,"C-BB",10,259,46,"C-BB"
2018,29,744,132,"W-BB",0,0,0,NA
2019,92,796,202,"C-BB",20,440,81,"C-BB"
2019,35,681,129,"W-BB",0,0,0,NA
2020,56,584,137,"C-BB",23,782,131,"C-BB"
2020,5,59,13,"W-BB",0,0,0,NA
2021,52,624,138,"C-BB",14,415,71,"C-BB"
2021,32,438,92,"W-BB",0,0,0,NA
2022,65,597,147,"C-BB",11,241,44,"C-BB"
2022,16,515,87,"W-BB",0,0,0,NA
