"year","Trips_North","Fish_North","InputN_North","Trips_South","Fish_South","InputN_South"
1948,0,0,0,8,405,56
1949,0,0,0,10,458,71
1950,0,0,0,0,0,0
1951,0,0,0,0,0,0
1952,0,0,0,0,0,0
1953,0,0,0,0,0,0
1954,0,0,0,0,0,0
1955,1,507,7,0,0,0
1956,2,689,14,0,0,0
1957,4,1053,28,0,0,0
1958,3,2140,21,0,0,0
1959,0,0,0,0,0,0
1960,1,252,7,0,0,0
1961,1,100,7,0,0,0
1962,0,0,0,3,150,21
1963,0,0,0,0,0,0
1964,1,200,7,24,970,158
1965,1,99,7,15,608,99
1966,4,1125,28,53,2248,363
1967,3,485,21,56,2296,373
1968,15,3378,106,100,3913,640
1969,7,1634,49,68,2612,428
1970,14,3581,99,35,1144,193
1971,16,3638,113,49,1699,283
1972,18,4202,127,60,2179,361
1973,8,1715,56,59,2221,365
1974,33,9485,233,63,2106,354
1975,44,7875,311,27,1198,191
1976,7,1971,49,36,1730,254
1977,22,2629,155,54,2555,381
1978,25,3232,176,42,2097,297
1979,29,3009,205,17,846,120
1980,53,5514,374,101,5040,713
1981,46,4596,325,96,4656,678
1982,22,2207,155,64,2930,452
1983,4,413,28,50,2450,353
1984,1,201,7,32,1570,226
1985,6,596,42,25,1225,176
1986,14,1397,99,27,1351,191
1987,22,1105,155,20,1000,141
1988,18,899,127,11,516,78
1989,16,803,113,17,841,120
1990,16,801,113,12,504,82
1991,17,633,104,24,836,139
1992,19,741,121,6,176,30
1993,16,530,89,0,0,0
1994,15,629,102,0,0,0
1995,8,296,49,0,0,0
1996,6,235,38,0,0,0
1997,21,774,128,0,0,0
1998,39,1697,273,0,0,0
1999,38,1603,259,0,0,0
2000,48,1962,319,0,0,0
2001,36,1489,241,16,478,82
2002,52,2078,339,14,305,56
2003,75,2633,438,40,699,136
2004,61,2357,386,23,588,104
2005,74,2928,478,41,1061,187
2006,96,4466,678,72,1802,321
2007,95,4303,671,153,4358,754
2008,101,4182,678,143,3889,680
2009,98,4080,661,76,1880,335
2010,105,3347,567,60,1620,284
2011,73,2871,469,45,1334,229
2012,76,3012,492,52,1874,311
2013,107,4442,720,73,3447,515
2014,123,4578,755,75,2859,470
2015,124,4419,734,62,2166,361
2016,78,2742,456,71,2599,430
2017,131,4605,766,81,3108,510
2018,142,3988,692,88,3105,516
2019,160,3459,637,90,3556,581
2020,73,1447,273,107,3654,611
2021,109,2080,396,95,2804,482
2022,104,2898,504,36,1345,222
