"Mgmt","Year","Catch","Low Spawn M=0.072","Low Frac M=0.072","Base Spawn M=0.142","Base Frac M=0.142","High Spawn M=0.219","High Frac M=0.219"
"A",2023,3485,6.86,0.195,7.69,0.336,8.53,0.528
"",2024,3285,6.03,0.172,6.7,0.292,7.41,0.458
"",2025,2354,5.27,0.15,5.85,0.255,6.49,0.401
"",2026,2238,4.97,0.141,5.56,0.243,6.17,0.382
"",2027,2217,4.83,0.137,5.48,0.239,6.08,0.376
"",2028,2263,4.78,0.136,5.55,0.242,6.14,0.38
"",2029,2334,4.79,0.136,5.69,0.248,6.28,0.388
"",2030,2390,4.8,0.137,5.85,0.255,6.43,0.398
"",2031,2429,4.79,0.136,5.99,0.261,6.55,0.405
"",2032,2449,4.75,0.135,6.09,0.266,6.62,0.409
"",2033,2460,4.68,0.133,6.16,0.269,6.67,0.412
"",2034,2463,4.59,0.131,6.2,0.271,6.69,0.414
"B",2023,3485,6.86,0.195,7.69,0.336,8.53,0.528
"",2024,3285,6.03,0.172,6.7,0.292,7.41,0.458
"",2025,2198,5.27,0.15,5.85,0.255,6.49,0.401
"",2026,2117,5.05,0.144,5.63,0.246,6.24,0.386
"",2027,2115,4.96,0.141,5.61,0.245,6.19,0.383
"",2028,2169,4.96,0.141,5.72,0.25,6.29,0.389
"",2029,2226,5.01,0.143,5.9,0.258,6.46,0.4
"",2030,2279,5.07,0.144,6.09,0.266,6.63,0.41
"",2031,2318,5.12,0.146,6.27,0.274,6.77,0.419
"",2032,2345,5.13,0.146,6.41,0.28,6.88,0.425
"",2033,2356,5.12,0.146,6.52,0.285,6.94,0.429
"",2034,2360,5.08,0.145,6.6,0.288,6.98,0.432
